image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,B9114111,0.625
test001_2.jpg,B2407UZO,18B2077,0.75
test001_3.jpg,B2842PKM,B 2345,0.75
test002_1.jpg,BG1352AE,AEA 1352,0.75
test003_1.jpg,B2634UZF,B-2635,0.625
test003_2.jpg,B1995JVK,B199 125,0.5
test004_1.jpg,B9062VEN,830265,0.75
test005_1.jpg,DD3798KM,DD 1798,0.5
test006_1.jpg,T1329KD,1732-829,0.8571428571428571
test007_1.jpg,AD8865EE,AD 8869,0.5
test008_1.jpg,DK1157AAB,DKL 1157,0.5555555555555556
test008_2.jpg,AA1997FE,AA-1991,0.5
test009_1.jpg,H8518NA,H8-6591,0.7142857142857143
test009_2.jpg,K1649GB,1046,0.7142857142857143
test010_1.jpg,B9416PCN,B9961,0.625
test010_2.jpg,H1147UY,H1127,0.42857142857142855
test011_1.jpg,H1691IL,169 1769,0.7142857142857143
test011_2.jpg,B9374KV,B 9321 RI,0.8571428571428571
test011_3.jpg,D1204AIG,12041,0.5
test012_1.jpg,E1887BA,E1897,0.42857142857142855
test013_1.jpg,B1439UZP,1436,0.625
test013_2.jpg,B1128WBS,B11123,0.625
test014_1.jpg,B1388DFX,1387,0.625
test015_1.jpg,AD1798BT,AD 1798,0.375
test016_1.jpg,E1517DO,1517,0.42857142857142855
test017_1.jpg,AD8982FS,AD 8098,0.625
test018_1.jpg,L7603UA,760-849,0.7142857142857143
test019_1.jpg,AD7HS,726,0.8
test019_2.jpg,B1959WYK,B1965,0.625
test020_1.jpg,AG8634EK,AG 868,0.625
test020_2.jpg,AD1328PY,AD 1328,0.375
test021_1.jpg,BA1709DW,BA 179,0.5
test021_2.jpg,W1236VZ,12345,0.5714285714285714
test022_1.jpg,W1825BZ,1825,0.42857142857142855
test022_2.jpg,L1202UE,L-1230,0.7142857142857143
test022_3.jpg,L3823IO,1382,0.5714285714285714
test023_1.jpg,B1730JLO,1739,0.625
test024_1.jpg,B2964TRU,B 2967,0.625
test025_1.jpg,S5585LP,5676,0.8571428571428571
test025_2.jpg,L2858RR,L 23859,0.7142857142857143
test025_3.jpg,W1185ZO,W11 185,0.5714285714285714
test025_4.jpg,Z9840VU,9846015,0.5714285714285714
test026_1.jpg,N9652DE,9652,0.42857142857142855
test026_2.jpg,L3836ZX,38396,0.5714285714285714
test027_1.jpg,N1905IG,N19635,0.5714285714285714
test027_2.jpg,B1109CLR,B110119,0.5
test027_3.jpg,L1840AL,1864,0.7142857142857143
test028_1.jpg,L1438EB,143,0.5714285714285714
test028_2.jpg,L1436AAJ,L14138AAA,0.375
test029_1.jpg,W1516WF,1516,0.42857142857142855
test029_2.jpg,G1986N,G 196,0.5
test029_3.jpg,L1588OO,1587,0.5714285714285714
test029_4.jpg,L1436AAA,1436,0.5
test030_1.jpg,S8062NF,809062,0.7142857142857143
test030_2.jpg,G1894TE,1893,0.5714285714285714
test031_1.jpg,L1560JO,1560,0.42857142857142855
test031_2.jpg,L1568OB,1658,0.7142857142857143
test031_3.jpg,L1332AAZ,L 1932 AZ,0.375
test032_1.jpg,B2734SKY,B 2165,0.875
test032_2.jpg,W1192K,W12132,0.5
test033_1.jpg,L4561VK,4530,0.7142857142857143
test033_2.jpg,L2693GR,L1269,0.5714285714285714
test033_3.jpg,W9847G,8763,0.8333333333333334
test033_4.jpg,L1762ABJ,L71862,0.625
test034_1.jpg,L1811SU,L1811S,0.14285714285714285
test034_2.jpg,W1167VB,WV17 V8,0.5714285714285714
test034_3.jpg,S6131ACF,S6151,0.5
test034_4.jpg,L2570AAD,L2570AD,0.125
test035_1.jpg,L9643NN,9062,0.8571428571428571
