image,ground_truth,prediction,CER_score,CER,Status
test001_1.jpg,B9140BCD,B9114111,0.625,0.625,Gagal
test001_2.jpg,B2407UZO,18B2077,0.75,0.75,Gagal
test001_3.jpg,B2842PKM,B 2345,0.75,0.75,Gagal
test002_1.jpg,BG1352AE,AEA 1352,0.75,0.75,Gagal
test003_1.jpg,B2634UZF,B-2635,0.625,0.625,Gagal
test003_2.jpg,B1995JVK,B199 125,0.5,0.5,Gagal
test004_1.jpg,B9062VEN,830265,0.75,0.75,Gagal
test005_1.jpg,DD3798KM,DD 1798,0.5,0.5,Gagal
test006_1.jpg,T1329KD,1732-829,0.8571428571428571,0.8571428571428571,Gagal
test007_1.jpg,AD8865EE,AD 8869,0.5,0.5,Gagal
test008_1.jpg,DK1157AAB,DKL 1157,0.5555555555555556,0.5555555555555556,Gagal
test008_2.jpg,AA1997FE,AA-1991,0.5,0.5,Gagal
test009_1.jpg,H8518NA,H8-6591,0.7142857142857143,0.7142857142857143,Gagal
test009_2.jpg,K1649GB,1046,0.7142857142857143,0.7142857142857143,Gagal
test010_1.jpg,B9416PCN,B9961,0.625,0.625,Gagal
test010_2.jpg,H1147UY,H1127,0.4285714285714285,0.42857142857142855,Gagal
test011_1.jpg,H1691IL,169 1769,0.7142857142857143,0.7142857142857143,Gagal
test011_2.jpg,B9374KV,B 9321 RI,0.8571428571428571,0.8571428571428571,Gagal
test011_3.jpg,D1204AIG,12041,0.5,0.5,Gagal
test012_1.jpg,E1887BA,E1897,0.4285714285714285,0.42857142857142855,Gagal
test013_1.jpg,B1439UZP,1436,0.625,0.625,Gagal
test013_2.jpg,B1128WBS,B11123,0.625,0.625,Gagal
test014_1.jpg,B1388DFX,1387,0.625,0.625,Gagal
test015_1.jpg,AD1798BT,AD 1798,0.375,0.375,Gagal
test016_1.jpg,E1517DO,1517,0.4285714285714285,0.42857142857142855,Gagal
test017_1.jpg,AD8982FS,AD 8098,0.625,0.625,Gagal
test018_1.jpg,L7603UA,760-849,0.7142857142857143,0.7142857142857143,Gagal
test019_1.jpg,AD7HS,726,0.8,0.8,Gagal
test019_2.jpg,B1959WYK,B1965,0.625,0.625,Gagal
test020_1.jpg,AG8634EK,AG 868,0.625,0.625,Gagal
test020_2.jpg,AD1328PY,AD 1328,0.375,0.375,Gagal
test021_1.jpg,BA1709DW,BA 179,0.5,0.5,Gagal
test021_2.jpg,W1236VZ,12345,0.5714285714285714,0.5714285714285714,Gagal
test022_1.jpg,W1825BZ,1825,0.4285714285714285,0.42857142857142855,Gagal
test022_2.jpg,L1202UE,L-1230,0.7142857142857143,0.7142857142857143,Gagal
test022_3.jpg,L3823IO,1382,0.5714285714285714,0.5714285714285714,Gagal
test023_1.jpg,B1730JLO,1739,0.625,0.625,Gagal
test024_1.jpg,B2964TRU,B 2967,0.625,0.625,Gagal
test025_1.jpg,S5585LP,5676,0.8571428571428571,0.8571428571428571,Gagal
test025_2.jpg,L2858RR,L 23859,0.7142857142857143,0.7142857142857143,Gagal
test025_3.jpg,W1185ZO,W11 185,0.5714285714285714,0.5714285714285714,Gagal
test025_4.jpg,Z9840VU,9846015,0.5714285714285714,0.5714285714285714,Gagal
test026_1.jpg,N9652DE,9652,0.4285714285714285,0.42857142857142855,Gagal
test026_2.jpg,L3836ZX,38396,0.5714285714285714,0.5714285714285714,Gagal
test027_1.jpg,N1905IG,N19635,0.5714285714285714,0.5714285714285714,Gagal
test027_2.jpg,B1109CLR,B110119,0.5,0.5,Gagal
test027_3.jpg,L1840AL,1864,0.7142857142857143,0.7142857142857143,Gagal
test028_1.jpg,L1438EB,143,0.5714285714285714,0.5714285714285714,Gagal
test028_2.jpg,L1436AAJ,L14138AAA,0.375,0.375,Gagal
test029_1.jpg,W1516WF,1516,0.4285714285714285,0.42857142857142855,Gagal
test029_2.jpg,G1986N,G 196,0.5,0.5,Gagal
test029_3.jpg,L1588OO,1587,0.5714285714285714,0.5714285714285714,Gagal
test029_4.jpg,L1436AAA,1436,0.5,0.5,Gagal
test030_1.jpg,S8062NF,809062,0.7142857142857143,0.7142857142857143,Gagal
test030_2.jpg,G1894TE,1893,0.5714285714285714,0.5714285714285714,Gagal
test031_1.jpg,L1560JO,1560,0.4285714285714285,0.42857142857142855,Gagal
test031_2.jpg,L1568OB,1658,0.7142857142857143,0.7142857142857143,Gagal
test031_3.jpg,L1332AAZ,L 1932 AZ,0.375,0.375,Gagal
test032_1.jpg,B2734SKY,B 2165,0.875,0.875,Gagal
test032_2.jpg,W1192K,W12132,0.5,0.5,Gagal
test033_1.jpg,L4561VK,4530,0.7142857142857143,0.7142857142857143,Gagal
test033_2.jpg,L2693GR,L1269,0.5714285714285714,0.5714285714285714,Gagal
test033_3.jpg,W9847G,8763,0.8333333333333334,0.8333333333333334,Gagal
test033_4.jpg,L1762ABJ,L71862,0.625,0.625,Gagal
test034_1.jpg,L1811SU,L1811S,0.1428571428571428,0.14285714285714285,Gagal
test034_2.jpg,W1167VB,WV17 V8,0.5714285714285714,0.5714285714285714,Gagal
test034_3.jpg,S6131ACF,S6151,0.5,0.5,Gagal
test034_4.jpg,L2570AAD,L2570AD,0.125,0.125,Gagal
test035_1.jpg,L9643NN,9062,0.8571428571428571,0.8571428571428571,Gagal
test035_2.jpg,L5247GI,5217,0.5714285714285714,0.5714285714285714,Gagal
test035_3.jpg,L2498AAM,L 2739 AM,0.625,0.625,Gagal
test035_4.jpg,W1696YO,WYD 1696,0.7142857142857143,0.7142857142857143,Gagal
test036_1.jpg,B1231JJA,123456,0.625,0.625,Gagal
test036_2.jpg,B1618UAE,D1688,0.625,0.625,Gagal
test037_1.jpg,L1775VO,177 VLV,0.5714285714285714,0.5714285714285714,Gagal
test037_2.jpg,L300RX,3000,0.5,0.5,Gagal
test037_3.jpg,L1879VG,1876,0.5714285714285714,0.5714285714285714,Gagal
test038_1.jpg,D1523YCN,1562,0.75,0.75,Gagal
test038_2.jpg,L1877ACU,1877,0.5,0.5,Gagal
test039_1.jpg,L1069VK,1096,0.5714285714285714,0.5714285714285714,Gagal
test040_1.jpg,S1595LL,1569,0.7142857142857143,0.7142857142857143,Gagal
test041_1.jpg,B1231JJA,12345,0.625,0.625,Gagal
test042_1.jpg,AD1174SF,AD 171117,0.625,0.625,Gagal
test043_1.jpg,W1898YW,W1898,0.2857142857142857,0.2857142857142857,Gagal
test043_2.jpg,W1470PG,1440,0.5714285714285714,0.5714285714285714,Gagal
test044_1.jpg,L1930KF,1930,0.4285714285714285,0.42857142857142855,Gagal
test044_2.jpg,N1004HE,N104104,0.5714285714285714,0.5714285714285714,Gagal
test045_1.jpg,S1347LJ,1347,0.4285714285714285,0.42857142857142855,Gagal
test046_1.jpg,L1470ABK,L 1470,0.5,0.5,Gagal
test046_2.jpg,L1265MX,L1265,0.2857142857142857,0.2857142857142857,Gagal
test047_1.jpg,N1524SY,1523,0.5714285714285714,0.5714285714285714,Gagal
test047_2.jpg,L1678ACE,L17678,0.5,0.5,Gagal
test048_1.jpg,L9316BC,LF13916,0.7142857142857143,0.7142857142857143,Gagal
test048_2.jpg,N1838AY,1838,0.4285714285714285,0.42857142857142855,Gagal
test049_1.jpg,N1376DE,N1376,0.2857142857142857,0.2857142857142857,Gagal
test049_2.jpg,N79AP,7901,0.6,0.6,Gagal
