image,ground_truth
test001_1.jpg,B9140BCD
test001_2.jpg,B2407UZO
test001_3.jpg,B2842PKM
test002_1.jpg,BG1352AE
test003_1.jpg,B2634UZF
test003_2.jpg,B1995JVK
test004_1.jpg,B9062VEN
test005_1.jpg,DD3798KM
test006_1.jpg,T1329KD
test007_1.jpg,AD8865EE
test008_1.jpg,DK1157AAB
test008_2.jpg,AA1997FE
test009_1.jpg,H8518NA
test009_2.jpg,K1649GB
test010_1.jpg,B9416PCN
test010_2.jpg,H1147UY
test011_1.jpg,H1691IL
test011_2.jpg,B9374KV
test011_3.jpg,D1204AIG
test012_1.jpg,E1887BA
test013_1.jpg,B1439UZP
test013_2.jpg,B1128WBS
test014_1.jpg,B1388DFX
test015_1.jpg,AD1798BT
test016_1.jpg,E1517DO
test017_1.jpg,AD8982FS
test018_1.jpg,L7603UA
test019_1.jpg,AD7HS
test019_2.jpg,B1959WYK
test020_1.jpg,AG8634EK
test020_2.jpg,AD1328PY
test021_1.jpg,BA1709DW
test021_2.jpg,W1236VZ
test022_1.jpg,W1825BZ
test022_2.jpg,L1202UE
test022_3.jpg,L3823IO
test023_1.jpg,B1730JLO
test024_1.jpg,B2964TRU
test025_1.jpg,S5585LP
test025_2.jpg,L2858RR
test025_3.jpg,W1185ZO
test025_4.jpg,Z9840VU
test026_1.jpg,N9652DE
test026_2.jpg,L3836ZX
test027_1.jpg,N1905IG
test027_2.jpg,B1109CLR
test027_3.jpg,L1840AL
test028_1.jpg,L1438EB
test028_2.jpg,L1436AAJ
test029_1.jpg,W1516WF
test029_2.jpg,G1986N
test029_3.jpg,L1588OO
test029_4.jpg,L1436AAA
test030_1.jpg,S8062NF
test030_2.jpg,G1894TE
test031_1.jpg,L1560JO
test031_2.jpg,L1568OB
test031_3.jpg,L1332AAZ
test032_1.jpg,B2734SKY
test032_2.jpg,W1192K
test033_1.jpg,L4561VK
test033_2.jpg,L2693GR
test033_3.jpg,W9847G
test033_4.jpg,L1762ABJ
test034_1.jpg,L1811SU
test034_2.jpg,W1167VB
test034_3.jpg,S6131ACF
test034_4.jpg,L2570AAD
test035_1.jpg,L9643NN
test035_2.jpg,L5247GI
test035_3.jpg,L2498AAM
test035_4.jpg,W1696YO
test036_1.jpg,B1231JJA
test036_2.jpg,B1618UAE
test037_1.jpg,L1775VO
test037_2.jpg,L300RX
test037_3.jpg,L1879VG
test038_1.jpg,D1523YCN
test038_2.jpg,L1877ACU
test039_1.jpg,L1069VK
test040_1.jpg,S1595LL
test041_1.jpg,B1231JJA
test042_1.jpg,AD1174SF
test043_1.jpg,W1898YW
test043_2.jpg,W1470PG
test044_1.jpg,L1930KF
test044_2.jpg,N1004HE
test045_1.jpg,S1347LJ
test046_1.jpg,L1470ABK
test046_2.jpg,L1265MX
test047_1.jpg,N1524SY
test047_2.jpg,L1678ACE
test048_1.jpg,L9316BC
test048_2.jpg,N1838AY
test049_1.jpg,N1376DE
test049_2.jpg,N79AP
test050_1.jpg,L1265OF
test050_2.jpg,N1095G
test051_1.jpg,N1718HC
test052_1.jpg,N6497KS
test052_2.jpg,N5235ABX
test052_3.jpg,N4980KJ
test053_1.jpg,N1365AAG
test054_1.jpg,N1077AAK
test054_2.jpg,N1084AAB
test055_1.jpg,N1610KS
test056_1.jpg,N924CIA
test056_2.jpg,N1623HB
test056_3.jpg,L1430HF
test057_1.jpg,N1342T
test057_2.jpg,H4145AB
test057_3.jpg,N1396AAH
test058_1.jpg,N3153ACB
test058_2.jpg,H5829KJ
test058_3.jpg,N1780JL
test059_1.jpg,W8774PA
test059_2.jpg,B9162FXU
test060_1.jpg,L1846JE
test060_2.jpg,M1457ITA
test061_1.jpg,AA1971KJ
test061_2.jpg,BD1146DH
test062_1.jpg,B9654PEU
test062_2.jpg,AE7244S
test063_1.jpg,S1208BI
test064_1.jpg,AE8137G
test065_1.jpg,H1706SW
test066_1.jpg,L1229HS
test066_2.jpg,H1790ZY
test067_1.jpg,L1855BR
test067_2.jpg,AB1274EV
test068_1.jpg,B2310UZS
test068_2.jpg,G1264CM
test069_1.jpg,AA1138AK
test070_1.jpg,B2160TOB
test070_2.jpg,B2597BYK
test071_1.jpg,G9545AG
test072_1.jpg,BG1870IB
test073_1.jpg,T1187HB
test073_2.jpg,A1330FP
test074_1.jpg,G1368GE
test074_2.jpg,B1081CMR
test075_1.jpg,G2414XZ
test075_2.jpg,G9173BP
test075_3.jpg,TIDAK_TERBACA
test076_1.jpg,G2151ASF
test076_2.jpg,E500MA
test076_3.jpg,G4689SN
test077_1.jpg,G1754DZ
test078_1.jpg,H1413DH
test079_1.jpg,T1688GY
test079_2.jpg,A1260AJ
test080_1.jpg,D77HSB
test080_2.jpg,B1661TQJ
test080_3.jpg,D1160ADE
test081_1.jpg,F8097BD
test081_2.jpg,F1992AM
test076_1.jpg,G2151ASF
test076_2.jpg,E500MA
test076_3.jpg,G4689SN
test077_1.jpg,G1754DZ
test078_1.jpg,H1413DH
test079_1.jpg,T1688GY
test082_1.jpg,E1824YZ
test082_2.jpg,B9093UEX
test083_1.jpg,F5052AAE
test083_2.jpg,F5452CQ
test084_1.jpg,B1158PYP
test084_2.jpg,B1242VOY
